,name,artist,duration,rank,mbid
180,SIDE OF THE ROAD,BECK,198.0,181,5f276821-b847-44c9-8ca4-ac9e90a3d4a1
181,AUSTIN,BLAKE SHELTON,230.0,182,10af243e-1278-497e-ace3-97d8467a1e53
182,COWBOY CASANOVA,CARRIE UNDERWOOD,236.0,183,a5243f59-3e8e-4291-8ba6-f677296fdd3a
183,MORE ADVENTUROUS,RILO KILEY,205.0,184,84c9fedc-3949-4dfb-905f-f864ce3f9c15
184,JUST A KISS,LADY ANTEBELLUM,218.0,185,91b8ad49-fcf4-4d3d-860c-4a656b2d263a
185,HUMMINGBIRD,WILCO,208.0,186,c94aecd9-fa8b-47f2-b328-0d69850319c5
186,FRIENDS IN LOW PLACES,GARTH BROOKS,259.0,187,17cadc83-feaf-4d2c-b93f-b9c43e8b5dd8
187,PICTURE TO BURN,TAYLOR SWIFT,213.0,188,2136db29-600b-4f8c-9ffd-60884f3de95f
188,SHOULD'VE SAID NO,TAYLOR SWIFT,245.0,189,317375d5-149a-43f3-9037-db6caac1e96a
189,YOU'RE GONNA MISS THIS,TRACE ADKINS,222.0,190,792818b7-801f-40d0-9d52-c50aef87d058
190,"CRY, CRY, CRY",JOHNNY CASH,146.0,191,f055c373-514d-460c-9160-2cebed60dfce
191,SAM HALL,JOHNNY CASH,195.0,192,5b503dd3-5f4f-4391-8567-d1149dc028df
192,RED,TAYLOR SWIFT,223.0,193,978b15fa-e23a-464f-96a2-3fb7e09dbb4f
193,END OF THE DAY,BECK,302.0,194,75ec4420-7b08-4744-abee-23d2dae1223d
194,"JESUS, TAKE THE WHEEL",CARRIE UNDERWOOD,228.0,195,97972ff5-8d63-4c8e-a863-80e4253c90de
195,COME PICK ME UP,RYAN ADAMS,0.0,196,4759e840-8cf5-4ec7-868f-9cf99bef8cd2
196,HOME,BLAKE SHELTON,230.0,197,010c0ddc-dbce-4e0d-b014-f5a8ff059000
197,THE BEST DAY,TAYLOR SWIFT,245.0,198,26290d76-ba05-4f65-acc8-6d08615f0489
198,TUESDAY'S GONE,METALLICA,545.0,199,57e0b06d-54c0-433e-9c01-8073b8810ae1
199,SHE THINKS MY TRACTOR'S SEXY,KENNY CHESNEY,248.0,200,11fc6576-77a2-4ba4-aba5-e9e87b674298
200,DESPERADO,JOHNNY CASH,193.0,201,64400609-b8d6-4692-ba26-158a45095447
201,ONE PIECE AT A TIME,JOHNNY CASH,241.0,202,1742bf1b-343e-4ced-8e00-679129732161
202,SOLITARY MAN,JOHNNY CASH,147.0,203,091bb8da-9e1c-44f5-ba54-b49af755a755
203,"LOVER, LOVER",JERROD NIEMANN,195.0,204,a26f9fd2-0353-4622-a079-17f8e5b79d02
204,SEEN IT ALL,JAKE BUGG,171.0,205,da07a472-dafd-4d59-a00c-091264caed65
205,YOUR MAN,JOSH TURNER,211.0,206,1ffe44e1-ccb5-430d-b950-bedd656b755f
206,THE FIRST CUT IS THE DEEPEST,SHERYL CROW,225.0,207,4a8f4f03-357f-4da9-9ed3-55ec4529c3a5
207,CHANGE,TAYLOR SWIFT,281.0,208,ea4faef3-2a6d-4325-ac21-b74398f228fe
208,LANDSLIDE,DIXIE CHICKS,282.0,209,416d4bd9-38b8-4535-8860-419763d3a1a9
209,THAT CERTAIN FEMALE,CHARLIE FEATHERS,183.0,210,e06e7afe-1273-4193-85dc-1c056163cc87
210,DANNY BOY,JOHNNY CASH,313.0,211,9f9c5025-3adc-419d-8006-35b640255274
211,SOUTHERN VOICE,TIM MCGRAW,242.0,212,2772490e-453c-4a19-a39d-4eeaf2a78a9f
212,TAKE IT BACK,SHE & HIM,188.0,213,9ae7c166-8128-4b7d-9f31-c1a5383accf7
213,WE'LL MEET AGAIN,JOHNNY CASH,177.0,214,89814c0c-3ead-4d77-9bb8-31be1b615c03
214,SETTLE FOR A SLOWDOWN,DIERKS BENTLEY,222.0,215,7cfe55e2-31b3-4a42-95e0-9118050388b8
215,SHE'LL COME BACK TO ME,CAKE,144.0,216,d18df159-c100-42cf-bfd1-77a14c55751c
216,TIM MCGRAW,TAYLOR SWIFT,240.0,217,4bea9dc0-11d3-4dc1-936b-73361da356eb
217,DEAD FLOWERS,THE ROLLING STONES,245.0,218,7e7b4e4c-b2d1-47b5-9001-c3ffc5759641
218,LOVE DON'T LIVE HERE,LADY ANTEBELLUM,230.0,219,7d24a911-b4e5-4f59-9511-15dc3c8d1ae2
219,EVERYDAY IS A WINDING ROAD,SHERYL CROW,250.0,220,24fdbca8-f5f2-4ee4-8ebc-064703c73061
220,VIVA LAS VEGAS,ELVIS PRESLEY,145.0,221,f547ff76-e91e-4c74-8dbf-9c2414e39d5f
221,EIGHT SECOND RIDE,JAKE OWEN,187.0,222,3c89b3a4-403f-4d6e-a408-49485c141003
222,MY FAVORITE MISTAKE,SHERYL CROW,273.0,223,5f0a6526-22b9-4968-907b-f1644f53eda8
223,SWEET JANE,COWBOY JUNKIES,0.0,224,0e9b7e3b-2912-4592-b335-2e7e8b3189a3
224,IT'S A GREAT DAY TO BE ALIVE,TRAVIS TRITT,242.0,225,2ff58802-2408-440f-8d50-06e50c531e97
225,SHE'S EVERYTHING,BRAD PAISLEY,269.0,226,f6edd946-9457-414a-9a20-f1d139cde301
226,I WON'T BACK DOWN,JOHNNY CASH,131.0,227,7e0f67ca-b858-4140-bf78-6f852c8b6561
227,COME A LITTLE CLOSER,DIERKS BENTLEY,283.0,228,3b166474-75f6-465e-96b1-3fab565f3866
228,AMARILLO SKY,JASON ALDEAN,203.0,229,22e43803-5753-455d-b8a9-a2f48c1c25f0
229,STAND BY YOUR MAN,TAMMY WYNETTE,161.0,230,2fee1f48-6a69-43df-a099-deef3b2a2ed4
230,THERE GOES MY LIFE,KENNY CHESNEY,302.0,231,8acce4de-6415-4408-9e79-9066aa2fff80
231,LITTLE BITTY,ALAN JACKSON,158.0,232,02a01f83-77e2-4cb3-9ab6-15839f1e937e
232,HOT DOG,LED ZEPPELIN,273.0,233,fdfef3dc-1877-4039-a132-e81f8b1b9f54
233,ACHY BREAKY HEART,BILLY RAY CYRUS,204.0,234,0f2ad8c9-794b-4f77-85f5-9afae62c1af7
234,COUNTRY HONK,THE ROLLING STONES,187.0,235,66eaa087-73a4-4ad3-ad73-54dad38a08df
235,15 MINUTES,RODNEY ATKINS,161.0,236,df4059f7-d9d1-4dc2-9f13-20c09e69af8c
236,BOONDOCKS,LITTLE BIG TOWN,272.0,237,f9d06fb6-1e12-4df9-9ec3-20dacfb38e1a
237,SKY BLUE SKY,WILCO,199.0,238,413910fc-c8ad-4747-a2fa-018b5d49d55a
238,KEROSENE,MIRANDA LAMBERT,185.0,239,3fef30d7-7f1e-47b9-ba85-33deb3baa18a
239,SHADOW DAYS,JOHN MAYER,230.0,240,3f958267-2c11-4030-9faa-3a8c81991f50
240,SOMEBODY LIKE YOU,KEITH URBAN,230.0,241,ba231e0f-d9ae-4094-b0c7-734ca18b89ea
241,ARE YOU GONNA KISS ME OR NOT,THOMPSON SQUARE,183.0,242,76e570dc-d892-40a7-ab7c-5cf26dc0f90f
